committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,30G,202212089547854447,F3X,4120820221633586245,23,B822269,1669857,CCM,CAMPAIGN COMMITTEE,C00354688,C00354688,MCCOLLUM FOR CONGRESS,ST. PAUL,MN,55114,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 07/28/22,2022-11-02 00:00:00,-2500.00,H,HOUSE,04,H0MN04049,"MCCOLLUM, BETTY",BETTY,MCCOLLUM,,,,MN,MINNESOTA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698158354,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547854447,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,YE,202301319575633513,F3X,4013120231721277940,23,B831865,1685819,CCM,CAMPAIGN COMMITTEE,C00703843,C00703843,BICE FOR CONGRESS,OKLAHOMA CITY,OK,73156,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/28/22,2022-12-01 00:00:00,-2500.00,H,HOUSE,05,H0OK05205,"BICE, STEPHANIE",STEPHANIE,BICE,,,,OK,OKLAHOMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722248631,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575633513,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710279,F3X,4013120221403741522,23,B795692,1564669,PAC,POLITICAL ACTION COMMITTEE,C00489906,C00489906,FUNDING DEVELOPING LEADERSHIP PAC,WASHINGTON,DC,20001,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/28/21,2021-12-16 00:00:00,-2500.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.51,4020720221405750182,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710279,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M3,202203189494021380,F3X,4031820221460873496,23,B806058,1575348,PAC,POLITICAL ACTION COMMITTEE,C00571000,C00571000,TRUE NORTH PAC,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 12/14/21,2022-02-07 00:00:00,-2500.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:50:09.126,4032320221464065347,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494021380,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,M3,202104209443860291,F3X,4042120211278480163,23,B782517,1513552,PAC,POLITICAL ACTION COMMITTEE,C00571208,C00571208,ONE GEORGIA PAC,ATLANTA,GA,30355,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 12/15/20,2021-02-24 00:00:00,-2500.00,,,,,,,,,,,,,P2020,NOT APPLICABLE,PRIMARY,2020,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2021-04-26 05:13:48.216,4042520211279054706,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104209443860291,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338842,F3X,4072020221541753604,23,B810236,1617984,PAC,POLITICAL ACTION COMMITTEE,C00271338,C00271338,AMERIPAC: THE FUND FOR A GREATER AMERICA,WASHINGTON,DC,20005,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 02/09/22,2022-06-21 00:00:00,-2500.00,,,,,,,,,,,,,P2022,NOT APPLICABLE,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.286,4072820221553298360,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338842,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338842,F3X,4072020221541753604,23,B766365,1617984,CCM,CAMPAIGN COMMITTEE,C00382978,C00382978,CASE FOR CONGRESS,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 08/14/20,2022-06-21 00:00:00,-2500.00,H,HOUSE,01,H2HI02128,"CASE, ED",ED,CASE,,,,HI,HAWAII,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.286,4072820221553298361,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338842,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338842,F3X,4072020221541753604,23,B775258,1617984,PAC,POLITICAL ACTION COMMITTEE,C00455717,C00455717,FREE STATE PAC,SHAWNEE MISSION,KS,66201,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/25/20,2022-06-21 00:00:00,-2500.00,,,,,,,,,,,,,P2020,NOT APPLICABLE,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.287,4072820221553298362,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338842,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338843,F3X,4072020221541753604,23,B767453,1617984,PAC,POLITICAL ACTION COMMITTEE,C00445379,C00445379,MAKING AMERICA PROSPEROUS PAC,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 07/30/20,2022-06-21 00:00:00,-2500.00,,,,,,,,,,,,,P2020,NOT APPLICABLE,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.288,4072820221553298364,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M9,202209209528689215,F3X,4092020221576068748,23,B816944,1631430,CCM,CAMPAIGN COMMITTEE,C00367862,C00367862,MIKE ROGERS FOR CONGRESS,ANNISTON,AL,36201,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 04/27/22,2022-08-22 00:00:00,-2500.00,H,HOUSE,03,H2AL03032,"ROGERS, MIKE",MIKE,ROGERS,,,,AL,ALABAMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-21 03:36:14.801,4092020221576277291,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528689215,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M10,202210209537795973,F3X,4102020221589932856,23,B824126,1645682,PAC,POLITICAL ACTION COMMITTEE,C00388934,C00388934,FUND FOR AMERICAS FUTURE,COLUMBIA,SC,29202,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 08/04/22,2022-09-23 00:00:00,-2500.00,,,,,,,,,,,,,P2022,NOT APPLICABLE,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630365711,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537795973,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338843,F3X,4072020221541753604,23,B764844,1617984,CCM,CAMPAIGN COMMITTEE,C00512426,C00512426,SEAN PATRICK MALONEY FOR CONGRESS,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 06/25/20,2022-06-21 00:00:00,-1500.00,H,HOUSE,17,H2NY22139,"MALONEY, SEAN PATRICK",SEAN PATRICK,MALONEY,,,,NY,NEW YORK,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.288,4072820221553298365,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338843,F3X,4072020221541753604,23,B739284,1617984,CCM,CAMPAIGN COMMITTEE,C00461046,C00461046,FRIENDS OF PAT TOOMEY,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/03/19,2022-06-21 00:00:00,-1000.00,S,SENATE,,S4PA00121,"TOOMEY, PAT",PAT,TOOMEY,,,,PA,PENNSYLVANIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.286,4072820221553298363,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M3,202203189494021387,F3X,4031820221460873496,23,B811569,1575348,CCM,CAMPAIGN COMMITTEE,C00257642,C00257642,PEOPLE FOR PATTY MURRAY,SEATTLE,WA,98124,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-25 00:00:00,500.00,S,SENATE,,S2WA00189,"MURRAY, PATTY",PATTY,MURRAY,,,,WA,WASHINGTON,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:50:09.128,4032320221464065370,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494021387,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M3,202203189494021388,F3X,4031820221460873496,23,B811570,1575348,CCM,CAMPAIGN COMMITTEE,C00257642,C00257642,PEOPLE FOR PATTY MURRAY,SEATTLE,WA,98124,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-25 00:00:00,500.00,S,SENATE,,S2WA00189,"MURRAY, PATTY",PATTY,MURRAY,,,,WA,WASHINGTON,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:50:09.128,4032320221464065371,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494021388,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M4,202204209500150920,F3X,4042020221470986695,23,B814359,1589427,CCM,CAMPAIGN COMMITTEE,C00640003,C00640003,MIKIE SHERRILL FOR CONGRESS,MONTCLAIR,NJ,07043,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-25 00:00:00,500.00,H,HOUSE,11,H8NJ11142,"SHERRILL, REBECCA M",REBECCA,SHERRILL,M,,,NJ,NEW JERSEY,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-27 03:38:32.432,4042620221472791019,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500150920,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M6,202206209515049287,F3X,4062020221530402254,23,B819327,1604164,CCM,CAMPAIGN COMMITTEE,C00561530,C00561530,MOOLENAAR FOR CONGRESS,MIDLAND,MI,48640,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-26 00:00:00,500.00,H,HOUSE,04,H4MI04126,"MOOLENAAR, JOHN",JOHN,MOOLENAAR,,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-24 03:36:27.145,4062320221531156897,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515049287,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M6,202206209515049287,F3X,4062020221530402254,23,B819328,1604164,CCM,CAMPAIGN COMMITTEE,C00561530,C00561530,MOOLENAAR FOR CONGRESS,MIDLAND,MI,48640,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-26 00:00:00,500.00,H,HOUSE,04,H4MI04126,"MOOLENAAR, JOHN",JOHN,MOOLENAAR,,,,MI,MICHIGAN,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-24 03:36:27.146,4062320221531156898,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515049287,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M7,202207209522338853,F3X,4072020221541753604,23,B822172,1617984,CCM,CAMPAIGN COMMITTEE,C00620518,C00620518,MARCO RUBIO FOR US SENATE,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-28 00:00:00,500.00,S,SENATE,,S0FL00338,"RUBIO, MARCO",MARCO,RUBIO,,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:06.292,4072820221553298393,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522338853,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,30G,202212089547854449,F3X,4120820221633586245,23,B836177,1669857,CCM,CAMPAIGN COMMITTEE,C00457556,C00457556,QUIGLEY FOR CONGRESS,CHICAGO,IL,60657,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-11-03 00:00:00,1000.00,H,HOUSE,05,H0IL05096,"QUIGLEY, MIKE",MIKE,QUIGLEY,,,,IL,ILLINOIS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698158361,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547854449,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,12G,202212089547849938,F3X,4120820221633586224,23,B833725,1669828,CCM,CAMPAIGN COMMITTEE,C00462861,C00462861,KUSTER FOR CONGRESS,CONCORD,NH,03302,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-17 00:00:00,1000.00,H,HOUSE,02,H0NH02181,"KUSTER, ANN MCCLANE",ANN MCCLANE,KUSTER,,,,NH,NEW HAMPSHIRE,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-15 03:36:21,4011420231698222247,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547849938,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,YE,202301319575633515,F3X,4013120231721277940,23,B837632,1685819,PAC,POLITICAL ACTION COMMITTEE,C00491142,C00491142,COMMON SENSE DEMOCRAT PAC,DEDHAM,MA,02026,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-12 00:00:00,1000.00,,,,,,,,,,,,,P2022,NOT APPLICABLE,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722248637,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575633515,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710266,F3X,4013120221403741522,23,B806499,1564669,CCM,CAMPAIGN COMMITTEE,C00703843,C00703843,BICE FOR CONGRESS,OKLAHOMA CITY,OK,73156,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-14 00:00:00,1000.00,H,HOUSE,05,H0OK05205,"BICE, STEPHANIE",STEPHANIE,BICE,,,,OK,OKLAHOMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.508,4020720221405750144,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710266,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710267,F3X,4013120221403741522,23,B806496,1564669,CCM,CAMPAIGN COMMITTEE,C00694604,C00694604,KAHELE FOR CONGRESS,HILO,HI,96720,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-14 00:00:00,1000.00,H,HOUSE,02,H0HI02155,"KAHELE, KAIALI'I",KAIALI'I,KAHELE,,,,HI,HAWAII,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.508,4020720221405750147,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710267,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710268,F3X,4013120221403741522,23,B806501,1564669,CCM,CAMPAIGN COMMITTEE,C00561530,C00561530,MOOLENAAR FOR CONGRESS,MIDLAND,MI,48640,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-14 00:00:00,1000.00,H,HOUSE,04,H4MI04126,"MOOLENAAR, JOHN",JOHN,MOOLENAAR,,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.509,4020720221405750150,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710268,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710270,F3X,4013120221403741522,23,B806494,1564669,CCM,CAMPAIGN COMMITTEE,C00479063,C00479063,THE BILL KEATING COMMITTEE,BUZZARDS BAY,MA,02532,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-14 00:00:00,1000.00,H,HOUSE,09,H0MA10082,"KEATING, WILLIAM R",WILLIAM,KEATING,R,,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.509,4020720221405750154,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710270,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710277,F3X,4013120221403741522,23,B807677,1564669,PAC,POLITICAL ACTION COMMITTEE,C00461996,C00461996,SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),MEMPHIS,TN,38117,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-15 00:00:00,1000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.51,4020720221405750175,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710277,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710280,F3X,4013120221403741522,23,B807861,1564669,CCM,CAMPAIGN COMMITTEE,C00610964,C00610964,MCEACHIN FOR CONGRESS,RICHMOND,VA,23221,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-16 00:00:00,1000.00,H,HOUSE,04,H6VA04061,"MCEACHIN, DONALD A",DONALD,MCEACHIN,A,,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.51,4020720221405750185,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710280,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710281,F3X,4013120221403741522,23,B807850,1564669,CCM,CAMPAIGN COMMITTEE,C00366948,C00366948,STEPHEN F. LYNCH FOR CONGRESS COMMITTEE,SOUTH BOSTON,MA,02124,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-16 00:00:00,1000.00,H,HOUSE,08,H2MA09072,"LYNCH, STEPHEN F.",STEPHEN F.,LYNCH,,,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.511,4020720221405750188,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710281,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2021,YE,202201319485710281,F3X,4013120221403741522,23,B807852,1564669,CCM,CAMPAIGN COMMITTEE,C00499392,C00499392,VALADAO FOR CONGRESS,FRESNO,CA,93704,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-16 00:00:00,1000.00,H,HOUSE,21,H2CA20094,"VALADAO, DAVID",DAVID,VALADAO,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:52:32.511,4020720221405750189,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485710281,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00088591,EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,2022,M3,202203189494021383,F3X,4031820221460873496,23,B811571,1575348,CCM,CAMPAIGN COMMITTEE,C00509968,C00509968,CARTWRIGHT FOR CONGRESS,SCRANTON,PA,18501,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-25 00:00:00,1000.00,H,HOUSE,08,H2PA17079,"CARTWRIGHT, MATTHEW A",MATTHEW,CARTWRIGHT,A,,,PA,PENNSYLVANIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:50:09.127,4032320221464065357,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494021383,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
